Time (s),Voltage (V),Current (mA)
0.0152,0.9958,2.418224
0.1799,0.9958,2.421028
0.265,0.9989,2.406542
0.3915,0.9965,2.386916
0.5161,0.9977,2.35514
0.6417,0.9965,2.284112
0.7648,0.9641,2.209813
0.8913,0.9476,2.169626
1.0158,0.9409,2.127103
1.1409,0.936,2.104206
1.2652,0.9317,2.084112
1.3918,0.9311,2.086916
1.5156,0.9305,2.07243
1.6416,0.9231,2.055607
1.7643,0.9268,2.061215
1.891,0.9262,2.061215
2.0141,0.9219,2.052804
2.1409,0.9195,2.046729
2.2641,0.9219,2.058411
2.3908,0.9244,2.05
2.5144,0.917,2.024299
2.6405,0.9219,2.035514
2.764,0.9231,2.043925
2.8913,0.917,2.03271
3.0134,0.9183,2.038318
3.1404,0.9207,2.03271
3.2634,0.9231,2.029907
3.3905,0.9158,2.027103
3.5137,0.9207,2.029907
3.6402,0.9213,2.038318
3.7664,0.9158,2.018224
3.8902,0.9164,2.021495
4.0164,0.9183,2.035514
4.1405,0.9189,2.029907
4.2661,0.914,2.012617
4.39,0.9176,2.021495
4.5162,0.9195,2.03271
4.6398,0.9121,2.004206
4.7662,0.9164,2.021495
4.8904,0.9183,2.029907
5.0159,0.9183,2.021495
5.1396,0.9121,2.012617
5.266,0.917,2.021495
5.3893,0.9189,2.027103
5.5158,0.9152,2.015421
5.639,0.917,2.021495
5.766,0.9164,2.021495
5.8893,0.917,2.024299
6.0155,0.9115,2.012617
6.1388,0.9176,2.018224
6.2655,0.9183,2.021495
6.3885,0.9115,2.018224
6.5156,0.9152,2.021495
6.6416,0.917,2.021495
6.7655,0.914,2.012617
6.8883,0.9115,2.007009
7.0152,0.9176,2.004206
7.1414,0.9195,2.024299
7.2651,0.9121,2.007009
7.3915,0.917,2.018224
7.5149,0.917,2.027103
7.6413,0.9152,2.021495
7.7656,0.9121,2.012617
7.8911,0.917,2.027103
8.0147,0.917,2.021495
8.1414,0.9128,2.009813
8.2643,0.9176,2.012617
8.391,0.917,2.015421
8.5143,0.914,2.012617
8.641,0.9128,2.012617
8.7641,0.9164,2.027103
8.8916,0.9164,2.029907
9.0138,0.9128,2.012617
9.1409,0.9176,2.021495
9.2638,0.9176,2.021495
9.3908,0.9128,2.009813
9.5136,0.9134,2.009813
9.6404,0.9152,2.018224
9.7635,0.9183,2.018224
9.8911,0.9128,2.009813
10.0168,0.9164,2.021495
10.1405,0.9183,2.012617
10.2634,0.9134,2.009813
10.3908,0.9146,2.018224
10.5164,0.917,2.027103
10.6402,0.9158,2.018224
10.7663,0.9115,2.007009
10.8909,0.917,2.027103
11.0161,0.917,2.027103
11.1402,0.9128,2.009813
11.2667,0.914,2.021495
11.3895,0.917,2.015421
11.5163,0.9158,2.029907
11.6397,0.9121,2.007009
11.766,0.9164,2.021495
11.8894,0.9176,2.027103
12.0158,0.9115,2.004206
12.1389,0.9152,2.015421
12.266,0.9164,2.018224
12.3899,0.9164,2.024299
12.5156,0.9115,2.009813
12.6393,0.9164,2.021495
12.7665,0.917,2.027103
12.8886,0.9121,2.007009
13.0159,0.9158,2.018224
13.142,0.9195,2.021495
13.2652,0.9146,2.007009
13.3891,0.9121,2.001402
13.5151,0.9152,2.024299
13.6418,0.9195,2.03271
13.7649,0.9115,2.007009
13.8915,0.9183,2.018224
14.015,0.9164,2.012617
14.1461,0.9134,2.009813
14.265,0.9128,2.009813
14.3913,0.9158,2.004206
14.5147,0.917,2.024299
14.6412,0.9115,2.009813
14.7645,0.9164,2.027103
14.8915,0.9164,2.012617
15.0147,0.9134,2.007009
15.141,0.9134,2.012617
15.2644,0.9158,2.024299
15.3909,0.917,2.027103
15.5142,0.9103,2.012617
15.6405,0.9146,2.009813
15.765,0.9176,2.024299
15.8906,0.9146,2.012617
16.015,0.914,2.012617
16.1404,0.917,2.012617
16.2648,0.9189,2.024299
16.3904,0.9115,2.012617
16.5137,0.9152,2.021495
16.6405,0.9183,2.027103
16.7666,0.9115,2.007009
16.8903,0.9128,2.015421
17.017,0.9158,2.012617
17.14,0.917,2.029907
17.2664,0.9115,2.007009
17.3903,0.9183,2.021495
17.5163,0.9176,2.029907
17.6399,0.9115,2.012617
17.7662,0.9121,2.018224
17.8906,0.9152,2.007009
18.016,0.9176,2.027103
18.1398,0.9091,2.009813
18.2661,0.9164,2.012617
18.3895,0.9176,2.024299
18.5159,0.9109,2.004206
18.6393,0.914,2.021495
18.7658,0.9158,2.015421
18.8891,0.9146,2.024299
19.0159,0.9115,2.009813
19.1389,0.9152,2.015421
19.2658,0.917,2.018224
19.3887,0.9103,2.004206
19.516,0.914,2.009813
19.6385,0.9134,2.012617
19.7655,0.9134,2.018224
19.8887,0.9103,2.009813
20.0151,0.9152,2.018224
20.1386,0.9158,2.018224
20.2654,0.9109,2.004206
20.3915,0.914,2.012617
20.515,0.9158,2.012617
20.6414,0.9134,2.015421
20.7649,0.9109,2.007009
20.8913,0.9146,2.024299
21.0148,0.914,2.029907
21.1413,0.9103,2.009813
21.2649,0.9121,2.015421
21.3912,0.9152,2.012617
21.5154,0.9146,2.009813
21.6415,0.9115,2.012617
21.7643,0.9152,2.018224
21.8909,0.9164,2.015421
22.014,0.9103,2.015421
22.1415,0.9152,2.012617
22.2652,0.9158,2.021495
22.3907,0.9128,2.015421
22.5139,0.9109,1.998598
22.6407,0.9152,2.015421
22.7643,0.9164,2.012617
22.8914,0.9103,2.009813
23.0134,0.9158,2.018224
23.1404,0.9183,2.012617
23.2667,0.9121,2.007009
23.3901,0.9121,1.998598
23.5166,0.9158,2.029907
23.6412,0.9158,2.012617
23.7665,0.9115,2.007009
23.8903,0.9164,2.009813
24.0163,0.9164,2.018224
24.1398,0.9115,2.001402
24.2663,0.9121,2.018224
24.3898,0.9152,2.021495
24.5162,0.9158,2.018224
24.6413,0.9097,1.995794
24.7658,0.9152,2.009813
24.8894,0.917,2.012617
