Time (s),Voltage (V),Current (A)
0.0022,0.0043,-0.043375766
0.2038,-1.8304,-8.428099953
0.4074,0.0031,-0.040546912
0.6093,0.0098,0.005657709
0.8111,0.0214,0.054691183
1.0137,0.0305,0.103724658
1.2159,0.0422,0.152758133
1.4177,0.0483,0.198962753
1.6197,0.0593,0.241867044
1.822,0.0721,0.290900519
2.024,0.0831,0.334276285
2.2258,0.0904,0.374351721
2.4286,0.102,0.412069778
2.6301,0.1106,0.469589816
2.8318,0.1204,0.515794437
3.0346,0.1332,0.573314474
3.235,0.1417,0.625176803
3.4374,0.1509,0.659594531
3.6394,0.1607,0.71145686
3.8411,0.1717,0.760490335
4.0433,0.1802,0.806694955
4.2442,0.1912,0.843941537
4.4476,0.201,0.887317303
4.6503,0.212,0.939179632
4.8514,0.2193,0.988213107
5.0535,0.2285,1.036775106
5.256,0.2407,1.085808581
5.4581,0.2523,1.132013201
5.6599,0.2621,1.178217822
5.8622,0.2682,1.224422442
6.0641,0.2823,1.276284771
6.2664,0.2933,1.319189062
6.4676,0.3049,1.353606789
6.6695,0.3128,1.405469118
6.8723,0.3201,1.451673739
7.0742,0.3317,1.500707214
7.2751,0.3415,1.546911834
7.4779,0.3519,1.595945309
7.6802,0.3629,1.641678454
7.8824,0.3696,1.68505422
8.0841,0.3818,1.725601132
8.2862,0.3898,1.777463461
8.4883,0.4026,1.823196605
8.6898,0.4118,1.87223008
8.8927,0.4209,1.921263555
9.0946,0.4338,1.973125884
9.2966,0.4399,2.022159359
9.4984,0.4497,2.059405941
9.6999,0.4625,2.120226308
9.9026,0.4717,2.15747289
10.1043,0.4808,2.198019802
10.3063,0.4924,2.238095238
10.5078,0.5028,2.287128713
10.7102,0.5126,2.330504479
10.9113,0.5224,2.379066478
11.1148,0.5285,2.430928807
11.3163,0.5419,2.479962282
11.518,0.5523,2.528995757
11.7203,0.5602,2.569542669
11.9225,0.5743,2.621404998
12.1242,0.5828,2.673267327
12.326,0.5938,2.713342763
12.5285,0.6042,2.756718529
12.7299,0.6152,2.814238567
12.9327,0.6256,2.863272041
13.1343,0.6336,2.909476662
13.336,0.6433,2.949552098
13.5383,0.6555,2.992927864
13.7408,0.6647,3.044790193
13.9428,0.6727,3.082036775
14.1443,0.6843,3.139556813
14.3466,0.6934,3.17727487
14.5487,0.7044,3.226308345
14.751,0.7124,3.266383781
14.953,0.7252,3.323903819
15.1539,0.7344,3.367279585
15.3569,0.7441,3.413484206
15.5587,0.7533,3.46251768
15.7612,0.7631,3.514380009
15.9625,0.7759,3.5572843
16.1646,0.7832,3.595002357
16.367,0.7936,3.655351249
16.5692,0.8046,3.695426686
16.7709,0.8156,3.735973597
16.9731,0.826,3.776520509
17.1752,0.8358,3.828382838
17.3771,0.8443,3.876944837
17.5793,0.8529,3.931636021
17.7794,0.8651,3.972182933
17.9828,0.8724,4.02970297
18.1853,0.8816,4.067421028
18.3868,0.8944,4.110325318
18.5893,0.9085,4.162187647
18.7913,0.9164,4.208392268
18.9934,0.9256,4.254596888
19.1953,0.9372,4.303630363
19.3973,0.9476,4.355492692
19.5991,0.9543,4.395568128
19.8013,0.9671,4.450259312
20.003,0.9739,4.484677039
20.0714,0.9842,4.539839698
20.2743,0.9958,4.585572843
20.4756,0.9965,4.571428571
20.6766,0.9867,4.536539368
20.8773,0.9757,4.493635078
21.0782,0.9647,4.438943894
21.2796,0.9543,4.401225837
21.4799,0.9476,4.352192362
21.681,0.9372,4.306459217
21.8825,0.9262,4.257425743
22.0832,0.9146,4.219707685
22.2844,0.906,4.171145686
22.4857,0.8963,4.115983027
22.686,0.8822,4.064120698
22.8883,0.8761,4.018387553
23.0883,0.8645,3.977840641
23.2891,0.8541,3.931636021
23.4909,0.8474,3.874115983
23.6916,0.8358,3.845355964
23.893,0.8254,3.782178218
24.0931,0.8168,3.74446016
24.2947,0.8046,3.692597831
24.4955,0.7955,3.646864686
24.6965,0.7845,3.600660066
24.8975,0.7759,3.5572843
25.0985,0.7643,3.514380009
25.2995,0.7545,3.465346535
25.5004,0.7447,3.413484206
25.7016,0.7374,3.361621876
25.9026,0.7221,3.326732673
26.1031,0.7154,3.283828383
26.3042,0.7063,3.231966054
26.504,0.6953,3.180103725
26.7071,0.6855,3.148514851
26.9076,0.6751,3.10796794
27.1086,0.6659,3.050447902
27.3097,0.6555,3.00990099
27.5106,0.6452,2.955209807
27.7117,0.6403,2.923620934
27.9125,0.6268,2.866100896
28.1139,0.6171,2.811409712
28.3146,0.6079,2.773691655
28.5157,0.5969,2.72795851
28.7166,0.5847,2.673267327
28.9176,0.5743,2.621404998
29.1188,0.5663,2.575200377
29.3198,0.556,2.53748232
29.5204,0.5437,2.485619991
29.7216,0.5346,2.439886846
29.9228,0.523,2.399339934
30.1235,0.515,2.350306459
30.324,0.5028,2.318717586
30.525,0.4949,2.258368694
30.7265,0.4839,2.212164074
30.9273,0.4753,2.165959453
31.1292,0.4649,2.116925978
31.33,0.4552,2.065063649
31.531,0.4454,2.022159359
31.7313,0.4338,1.967468175
31.9326,0.4246,1.932578972
32.1341,0.4148,1.884016973
32.3348,0.4051,1.832154644
32.5354,0.3959,1.774163131
32.7362,0.3849,1.736916549
32.9364,0.3763,1.702498821
33.1386,0.3666,1.644978784
33.3397,0.3543,1.604431872
33.5411,0.344,1.56388496
33.74,0.3354,1.515322961
33.9413,0.3238,1.471947195
34.1439,0.3152,1.425742574
34.3451,0.3085,1.385667138
34.5458,0.2945,1.336633663
34.747,0.2841,1.284771334
34.9472,0.2749,1.244224422
35.1485,0.2645,1.201320132
35.3498,0.2554,1.155115512
35.5511,0.2438,1.103253182
35.752,0.2334,1.045733145
35.9515,0.2248,1.010843942
36.1542,0.2144,0.967939651
36.3549,0.2053,0.910419613
36.5558,0.1961,0.858557284
36.7564,0.1857,0.80952381
36.9578,0.1766,0.763319189
37.1591,0.1674,0.731730316
37.3594,0.1576,0.682696841
37.5601,0.1454,0.622347949
37.7621,0.1362,0.587458746
37.9629,0.1246,0.535596417
38.1642,0.1142,0.483734088
38.3648,0.102,0.438000943
38.5651,0.0916,0.394625177
38.7669,0.0849,0.345591702
38.9676,0.0751,0.314002829
39.1685,0.0641,0.267798208
39.3695,0.055,0.210278171
39.5708,0.0452,0.181518152
39.772,0.0354,0.11786893
39.9729,0.025,0.083451202
40.1737,0.0147,0.02310231
40.3749,0.0067,-0.008486563
40.5756,-0.0049,-0.051862329
40.7768,-0.0134,-0.103724658
40.978,-0.022,-0.149929279
41.1786,-0.0348,-0.204620462
41.3795,-0.0452,-0.253653937
41.5812,-0.0562,-0.293729373
41.7812,-0.0635,-0.342762848
41.9829,-0.0745,-0.388967468
42.1837,-0.0843,-0.440829797
42.385,-0.0947,-0.483734088
42.5859,-0.1051,-0.512494107
42.7869,-0.1155,-0.567656766
42.9881,-0.1234,-0.619519095
43.1876,-0.1356,-0.662423385
43.3904,-0.1448,-0.714285714
43.5906,-0.1558,-0.766148043
43.792,-0.165,-0.800565771
43.9934,-0.1741,-0.843941537
44.1943,-0.1857,-0.884488449
44.3952,-0.1998,-0.95049505
44.5964,-0.2071,-0.991041961
44.7967,-0.2193,-1.033946252
44.9978,-0.2285,-1.077322018
45.1992,-0.2352,-1.123526638
45.4002,-0.2462,-1.181046676
45.6013,-0.2548,-1.218293258
45.8019,-0.2645,-1.270155587
46.003,-0.2749,-1.310702499
46.2041,-0.2829,-1.353606789
46.4054,-0.2951,-1.405469118
46.6063,-0.3043,-1.448844884
46.8068,-0.3146,-1.489391796
47.008,-0.3232,-1.529467232
47.209,-0.336,-1.584158416
47.41,-0.3464,-1.636020745
47.6117,-0.3537,-1.676567657
47.8121,-0.366,-1.710985384
48.0135,-0.3763,-1.777463461
48.2132,-0.3861,-1.811881188
48.4147,-0.3941,-1.855256954
48.6159,-0.4044,-1.892503536
48.8168,-0.4136,-1.952852428
49.0181,-0.4252,-1.99339934
49.2193,-0.4362,-2.033474776
49.4204,-0.4448,-2.079679397
49.6213,-0.4545,-2.125884017
49.8213,-0.4643,-2.168788307
50.0234,-0.4741,-2.223950967
50.2241,-0.4833,-2.272512966
50.4251,-0.4918,-2.301272984
50.6256,-0.5028,-2.373408769
50.8268,-0.512,-2.399339934
51.0285,-0.5224,-2.451202263
51.2279,-0.5321,-2.494578029
51.4305,-0.5419,-2.54078265
51.6311,-0.5535,-2.589344649
51.8324,-0.5633,-2.624233852
52.0332,-0.5712,-2.673267327
52.2335,-0.5828,-2.716171617
52.4351,-0.5932,-2.765205092
52.637,-0.603,-2.805752004
52.8374,-0.6109,-2.857614333
53.0374,-0.6219,-2.897689769
53.2395,-0.6329,-2.946723244
53.44,-0.6415,-2.995756719
53.6409,-0.6531,-3.035832155
53.8415,-0.6629,-3.090523338
54.0432,-0.6739,-3.136727959
54.2443,-0.6837,-3.174446016
54.445,-0.6928,-3.237623762
54.6458,-0.702,-3.283828383
54.8474,-0.713,-3.326732673
55.0481,-0.7246,-3.364450731
55.2493,-0.7331,-3.41631306
55.4492,-0.7417,-3.453559642
55.6518,-0.7521,-3.511079679
55.8523,-0.7619,-3.5572843
56.0534,-0.7722,-3.592173503
56.254,-0.7814,-3.643564356
56.4557,-0.7912,-3.684111268
56.6566,-0.8028,-3.730315889
56.8574,-0.812,-3.785007072
57.0584,-0.8217,-3.828382838
57.2593,-0.8321,-3.876944837
57.4599,-0.8431,-3.909005186
57.6609,-0.8517,-3.96369637
57.8628,-0.8608,-4.00660066
58.063,-0.8712,-4.058462989
58.2643,-0.881,-4.096181047
58.4653,-0.8908,-4.148043376
58.666,-0.9024,-4.193776521
58.8673,-0.9109,-4.24563885
59.0686,-0.9213,-4.29184347
59.2694,-0.9317,-4.338048091
59.4697,-0.9427,-4.387081565
59.6713,-0.9525,-4.424328147
59.8723,-0.9604,-4.476190476
60.0733,-0.9726,-4.516737388
60.1409,-0.983,-4.568599717
60.3459,-0.9922,-4.620462046
60.5461,-0.9928,-4.605846299
60.7488,-0.9824,-4.579915134
60.9508,-0.9708,-4.519566242
61.1531,-0.9604,-4.473361622
61.3535,-0.9525,-4.429985856
61.5573,-0.9445,-4.384252711
61.7583,-0.9317,-4.329561528
61.9609,-0.9225,-4.286185761
62.1628,-0.9103,-4.237152287
62.3646,-0.9024,-4.182461103
62.567,-0.8902,-4.141914191
62.7686,-0.8792,-4.101838755
62.9714,-0.8706,-4.058462989
63.1733,-0.859,-4.009429514
63.3751,-0.8504,-3.969354078
63.5778,-0.8413,-3.909005186
63.7793,-0.8303,-3.868458274
63.9809,-0.8223,-3.825082508
64.1832,-0.8095,-3.773220179
64.3858,-0.8022,-3.730315889
64.5869,-0.7912,-3.681282414
64.7897,-0.7808,-3.640735502
64.9913,-0.7686,-3.592173503
65.1933,-0.7612,-3.545968883
65.3956,-0.749,-3.499764262
65.5971,-0.7399,-3.456388496
65.7996,-0.7295,-3.404526167
66.0009,-0.7215,-3.364450731
66.2033,-0.7105,-3.306930693
66.4051,-0.7008,-3.263554927
66.6077,-0.6934,-3.220179161
66.8094,-0.6818,-3.180103725
67.0116,-0.6696,-3.133899104
67.213,-0.661,-3.090523338
67.4136,-0.65,-3.039132485
67.6172,-0.6397,-2.99009901
67.8199,-0.6311,-2.941065535
68.0209,-0.6195,-2.897689769
68.2234,-0.6122,-2.842998586
68.4239,-0.6006,-2.799622819
68.626,-0.5902,-2.74776049
68.8281,-0.5816,-2.710513909
69.0303,-0.5706,-2.664309288
69.234,-0.5596,-2.627062706
69.4358,-0.5499,-2.575200377
69.6374,-0.5395,-2.531824611
69.8401,-0.5297,-2.477133428
70.0419,-0.5193,-2.445544554
70.2441,-0.5101,-2.388024517
70.4456,-0.501,-2.344648751
70.6476,-0.4906,-2.292786421
70.8502,-0.4796,-2.246581801
71.0518,-0.4698,-2.212164074
71.2535,-0.4594,-2.160301744
71.4563,-0.4497,-2.120226308
71.6586,-0.4411,-2.071192834
71.86,-0.4313,-2.019330504
72.0621,-0.4203,-1.984441301
