Time (s),Voltage (V),Current (mA)
0.015,0.4949,6.842991
0.2189,0.5101,1.915421
0.424,0.5187,1.36729
0.6291,0.5315,1.139252
0.8326,0.5425,1.101869
1.0377,0.5492,1.04486
1.2419,0.5621,1.047664
1.4444,0.5743,0.96215
1.6482,0.5804,1.030841
1.8536,0.5938,1.019159
2.058,0.6036,0.973364
2.262,0.6152,0.916355
2.4646,0.6244,0.996262
2.6691,0.6329,0.933645
2.8727,0.6452,0.876636
3.0771,0.6568,0.825234
3.2826,0.6653,0.870561
3.4865,0.6751,0.836449
3.6888,0.6885,0.707944
3.8937,0.6953,0.72243
4.0984,0.705,0.782243
4.3025,0.7148,0.76215
4.5067,0.7283,0.628037
4.7113,0.7356,0.693925
4.9135,0.7472,0.690654
5.1183,0.7545,0.699533
5.3229,0.7667,0.550935
5.5271,0.7771,0.650935
5.7316,0.7869,0.63972
5.9356,0.7961,0.66215
6.1382,0.8071,0.50514
6.3431,0.8205,0.668224
6.5477,0.8284,0.602336
6.752,0.8352,0.591121
6.9565,0.8486,0.511215
7.1581,0.8578,0.636449
7.3629,0.8675,0.573832
7.5676,0.8792,0.53972
7.7719,0.8914,0.499533
7.9767,0.8975,0.607944
8.1806,0.9091,0.562617
8.3827,0.9225,0.476636
8.5875,0.9317,0.488318
8.7923,0.9439,0.550935
8.9971,0.95,0.542523
9.2009,0.9641,0.431308
9.4052,0.9757,0.493925
9.6074,0.9818,0.502336
9.8121,0.9922,0.528037
10.017,1.0032,0.38271
10.1058,1.0032,0.462617
10.3103,0.9903,0.425234
10.5121,0.9824,0.362617
10.7133,0.9732,0.274299
10.9164,0.9635,0.316822
11.1178,0.95,0.388318
11.3194,0.9409,0.342523
11.5225,0.9299,0.331308
11.7241,0.9213,0.342523
11.9259,0.9103,0.228505
12.1285,0.9011,0.23972
12.3303,0.8902,0.302804
12.5318,0.8798,0.291121
12.7325,0.8682,0.293925
12.9363,0.8578,0.293925
13.138,0.848,0.245327
13.3387,0.8401,0.191121
13.5423,0.8297,0.211215
13.7441,0.8193,0.296729
13.9449,0.8101,0.245327
14.1485,0.8003,0.251402
14.3501,0.7869,0.265421
14.551,0.7832,0.148598
14.7547,0.7716,0.171495
14.9562,0.7576,0.211215
15.1574,0.749,0.242523
15.3606,0.7374,0.193925
15.5623,0.7289,0.202804
15.7636,0.7173,0.159813
15.9666,0.7081,0.114019
16.1685,0.6983,0.13972
16.3696,0.6867,0.2
16.5731,0.6794,0.162617
16.7744,0.6678,0.165421
16.9758,0.6549,0.157009
17.1766,0.6494,0.097196
17.3805,0.6384,0.08271
17.582,0.6299,0.116822
17.785,0.6189,0.120093
17.9869,0.6079,0.102804
18.1882,0.5957,0.108411
18.3889,0.5859,0.085514
18.593,0.5773,0.042991
18.7944,0.5663,0.042991
18.995,0.5547,0.088318
19.1988,0.5456,0.062617
19.4006,0.5352,0.062617
19.6012,0.5248,0.048598
19.8051,0.5156,0.011215
20.0068,0.5065,0.01729
20.2074,0.4943,0.005607
20.4109,0.4851,0.040187
20.6129,0.4759,0.01729
20.8136,0.4649,0.025701
21.0169,0.4539,0.005607
21.2188,0.4442,-0.020093
21.4198,0.4368,-0.020093
21.6235,0.4258,0.002804
21.824,0.4136,-0.002804
22.026,0.4032,-0.014486
22.2294,0.3959,-0.011215
22.4309,0.3831,-0.025701
22.6324,0.3733,-0.036916
22.8355,0.3653,-0.040187
23.037,0.355,-0.025701
23.2387,0.3452,-0.048598
23.4416,0.3324,-0.031308
23.6431,0.3226,-0.051402
23.8445,0.314,-0.071495
24.048,0.3073,-0.074299
24.2491,0.2951,-0.079907
24.4507,0.2835,-0.097196
24.6514,0.2719,-0.097196
24.8552,0.2639,-0.105607
25.0569,0.2517,-0.116822
25.2577,0.245,-0.142523
25.4616,0.2334,-0.162617
25.6632,0.223,-0.136916
25.8643,0.2138,-0.148598
26.0679,0.2041,-0.165421
26.2693,0.1931,-0.177103
26.47,0.1857,-0.191121
26.6738,0.1747,-0.202804
26.8753,0.1625,-0.205607
27.0762,0.1527,-0.2
27.2799,0.1436,-0.208411
27.4804,0.1314,-0.219626
27.6824,0.1222,-0.231308
27.8856,0.1142,-0.242523
28.0879,0.102,-0.254206
28.2885,0.0898,-0.248598
28.4919,0.0819,-0.231308
28.6936,0.0745,-0.251402
28.8947,0.0635,-0.257009
29.0983,0.0538,-0.257009
29.3001,0.0446,-0.271028
29.5009,0.033,-0.279907
29.7042,0.0257,-0.271028
29.9061,0.0159,-0.293925
30.1071,0.0024,-0.285514
30.167,0.0037,-0.268224
30.3726,0.0128,-0.23972
30.577,0.0244,-0.228505
30.7811,0.0312,-0.191121
30.9836,0.0428,-0.193925
31.1884,0.0532,-0.191121
31.3926,0.0623,-0.18271
31.5971,0.0733,-0.162617
31.8012,0.0819,-0.154206
32.0056,0.0923,-0.142523
32.2083,0.1045,-0.142523
32.4131,0.113,-0.125701
32.6173,0.124,-0.125701
32.8214,0.1356,-0.122897
33.0259,0.1442,-0.105607
33.2281,0.1521,-0.105607
33.4329,0.165,-0.085514
33.6366,0.176,-0.088318
33.8421,0.1833,-0.077103
34.0463,0.1937,-0.068692
34.248,0.2047,-0.068692
34.4528,0.2157,-0.059813
34.6576,0.2273,-0.034112
34.8622,0.234,-0.040187
35.0663,0.245,-0.022897
35.2704,0.256,-0.036916
35.475,0.2658,-0.005607
35.6777,0.2755,-0.002804
35.8822,0.2878,0.01729
36.0868,0.2969,0.01729
36.2909,0.3079,0.045794
36.495,0.3165,0.045794
36.6974,0.3281,0.057009
36.9021,0.336,0.057009
37.1068,0.347,0.094393
37.3112,0.3562,0.088318
37.5156,0.3672,0.088318
37.7197,0.38,0.088318
37.922,0.388,0.122897
38.1268,0.3947,0.120093
38.3321,0.4063,0.122897
38.5358,0.4197,0.120093
38.74,0.4283,0.151402
38.9442,0.4387,0.162617
39.1467,0.4484,0.165421
39.3514,0.4613,0.159813
39.5561,0.468,0.208411
39.7604,0.4808,0.231308
39.9644,0.4906,0.208411
40.1689,0.4985,0.245327
40.2466,0.5022,0.211215
40.4519,0.512,0.254206
40.6539,0.5181,0.302804
40.8587,0.5315,0.262617
41.0627,0.5431,0.299533
41.2674,0.5511,0.336916
