Time (s),Voltage (V),Current (mA)
0.1045,1.016922,4.386596
0.2956,1.015844,4.38435
0.844,1.018539,4.350109
1.0303,1.015668,4.384569
1.4071,1.011566,4.425823
1.8226,1.011297,4.440561
2.3309,1.010324,4.44341
2.6339,1.009844,4.446861
2.9385,1.010172,4.437274
3.2496,1.011133,4.432124
3.5743,1.010594,4.431138
3.897,1.012176,4.410757
4.2386,1.012258,4.424125
4.5395,1.010348,4.427741
4.8474,1.009902,4.449436
5.154,1.009961,4.444451
5.4574,1.010066,4.452559
5.7631,1.008883,4.447519
6.0721,1.008977,4.454202
6.3762,1.012574,4.410154
6.6888,1.009551,4.456613
7.0022,1.009562,4.447792
7.3406,1.009773,4.451792
7.6543,1.008707,4.454422
7.9743,1.00893,4.444396
8.294,1.009762,4.447245
8.589,1.009809,4.448669
8.8815,1.009094,4.448066
9.1773,1.009141,4.449272
9.4705,1.00873,4.454696
9.7638,1.009129,4.448669
10.0672,1.010207,4.452614
10.3667,1.011801,4.422536
10.6738,1.008566,4.455408
10.9786,1.008895,4.450751
11.2778,1.009656,4.442478
11.5791,1.011332,4.419085
11.8886,1.00941,4.454148
12.198,1.00941,4.451956
12.5083,1.008883,4.455408
12.8136,1.00893,4.455956
13.1233,1.009434,4.451463
13.4269,1.008988,4.452778
13.74,1.008965,4.455627
14.0523,1.009363,4.446587
14.3676,1.009867,4.449381
14.6797,1.009363,4.451956
14.9906,1.010395,4.444505
15.3049,1.008813,4.453216
15.6264,1.008684,4.451463
15.9458,1.009012,4.453874
16.2635,1.008262,4.453107
16.5815,1.008953,4.449765
16.8964,1.011203,4.434589
17.2103,1.009,4.452888
17.5554,1.008801,4.453819
17.869,1.009258,4.455079
18.1837,1.009199,4.447573
18.5031,1.011051,4.44204
18.8164,1.009574,4.45349
19.1313,1.009023,4.452395
19.4525,1.009129,4.446478
19.7724,1.009035,4.447957
20.0922,1.01152,4.427796
20.4153,1.011766,4.426371
20.7345,1.011812,4.423029
21.0331,1.012211,4.422755
21.3284,1.01173,4.418701
21.6218,1.011273,4.4227
21.9165,1.011836,4.423522
22.2123,1.011367,4.428836
22.5135,1.013266,4.394814
22.8122,1.010113,4.441273
23.1164,1.009609,4.447464
23.4136,1.011098,4.434644
23.7149,1.008895,4.454148
24.0092,1.009574,4.444177
24.3106,1.008684,4.452723
24.612,1.009867,4.452559
24.9138,1.008906,4.450422
25.2159,1.008988,4.450367
25.5162,1.014402,4.408894
25.6214,1.009832,4.448998
25.922,1.010078,4.442697
26.2287,1.009129,4.445437
26.5346,1.009035,4.447628
26.837,1.009094,4.450039
27.1389,1.009738,4.44719
27.4436,1.007008,4.472227
27.7744,1.00893,4.448669
28.0752,1.008262,4.453216
28.3771,1.009961,4.448066
28.6786,1.011496,4.403142
29.0114,1.017672,4.362545
29.3469,1.01159,4.435082
29.6716,1.011613,4.420016
29.9869,1.010945,4.437547
30.3022,1.009012,4.444724
30.6105,1.00968,4.433767
30.9256,1.010594,4.434644
31.2382,1.009773,4.438972
31.5452,1.009656,4.442314
31.8593,1.009469,4.449272
32.1669,1.009621,4.44982
32.475,1.00866,4.455134
32.7858,1.014918,4.390103
33.1004,1.010125,4.440506
33.4136,1.009598,4.45349
33.7292,1.009211,4.454202
34.0429,1.009094,4.451244
34.3564,1.008977,4.450751
34.6694,1.008508,4.450696
34.9812,1.009949,4.455408
35.2941,1.009141,4.447025
35.6037,1.008789,4.4536
35.9181,1.010547,4.44982
36.2324,1.009609,4.451573
36.5457,1.009281,4.447245
36.8665,1.010359,4.435794
37.1918,1.010465,4.445601
37.5353,1.01152,4.423029
37.8656,1.009668,4.448012
38.3174,1.009621,4.45097
38.6523,1.011367,4.43552
38.974,1.009785,4.450313
39.2996,1.009129,4.449491
39.6169,1.00975,4.442314
39.9404,1.009035,4.450258
40.2576,1.009973,4.454312
40.5929,1.010383,4.432178
40.9157,1.008648,4.447738
41.2413,1.009668,4.457709
41.538,1.009656,4.444396
41.8416,1.009059,4.444177
42.1372,1.009211,4.44982
42.4295,1.009996,4.45475
42.7498,1.009387,4.451299
43.0475,1.009375,4.453655
43.3423,1.009328,4.448943
43.6381,1.008297,4.453052
43.9364,1.00934,4.451956
44.232,1.008555,4.453655
44.5332,1.008871,4.441273
44.828,1.009258,4.453381
45.1284,1.009809,4.449162
45.424,1.009059,4.446532
45.7183,1.009187,4.453545
46.0141,1.009375,4.443464
46.3099,1.009047,4.450094
46.6061,1.009504,4.446916
