Time (s),Voltage (V),Current (mA)
0.105,0.516777,2.138174
0.2226,0.519027,2.182222
0.625,0.534004,2.134723
0.7556,0.537941,2.177237
1.1121,0.535609,2.246596
1.4881,0.535188,2.295191
1.9289,0.540941,2.317051
2.2347,0.545594,2.34165
2.5374,0.551922,2.349977
2.8425,0.558027,2.362085
3.1499,0.567625,2.353648
3.463,0.566664,2.432814
3.7863,0.571234,2.446237
4.105,0.577141,2.465521
4.4377,0.586621,2.455167
4.7706,0.587324,2.508145
5.102,0.593594,2.53247
5.4324,0.59609,2.569451
5.7574,0.6025,2.590653
6.0864,0.607082,2.621443
6.4101,0.611687,2.63881
6.7395,0.615695,2.6696
7.0932,0.623043,2.684227
7.4264,0.630812,2.676667
7.7547,0.634199,2.72592
8.0762,0.637937,2.755723
8.4048,0.64723,2.759065
8.7277,0.647758,2.797689
9.0509,0.654941,2.830123
9.3769,0.661211,2.825576
9.6975,0.66734,2.843491
10.0351,0.671512,2.876088
10.3756,0.680336,2.863762
10.7164,0.681355,2.91526
11.0562,0.687039,2.930546
11.389,0.692688,2.952789
11.7251,0.692711,3.004891
12.0643,0.698594,3.026476
12.3993,0.703586,3.04724
12.7358,0.707582,3.069867
13.0711,0.71275,3.084824
13.405,0.721973,3.089371
13.7391,0.721785,3.13813
14.0798,0.727,3.164154
14.426,0.735789,3.143993
14.7614,0.737148,3.212201
15.1052,0.742492,3.223652
15.4419,0.748563,3.261892
15.7785,0.752664,3.283916
16.112,0.759121,3.304954
16.4484,0.763387,3.332566
16.8016,0.76832,3.357823
17.1938,0.773301,3.358042
17.5473,0.779512,3.394529
17.9007,0.786285,3.405651
18.255,0.789191,3.441755
18.6094,0.793609,3.463724
18.9637,0.798133,3.487173
19.3162,0.804965,3.503609
19.6829,0.813344,3.495774
20.0348,0.817738,3.527112
20.3862,0.823082,3.5493
20.7162,0.826281,3.584035
21.0454,0.831543,3.604305
21.3677,0.836734,3.6197
21.6934,0.840684,3.648847
22.0293,0.849402,3.632739
22.3535,0.848746,3.709604
22.6827,0.853328,3.736669
23.0128,0.858719,3.755953
23.3368,0.863465,3.778799
23.6681,0.871117,3.781867
23.9936,0.876508,3.804987
24.3191,0.880527,3.832983
24.6563,0.886211,3.847337
25.0106,0.892328,3.857965
25.3456,0.895633,3.891878
25.6828,0.900648,3.914888
26.0156,0.906602,3.939158
26.3475,0.911523,3.962607
26.6795,0.916445,3.985946
27.0102,0.919012,4.032842
27.3629,0.923676,4.059688
27.6997,0.928891,4.088067
28.0311,0.934305,4.105598
28.3317,0.9385,4.13343
28.6325,0.944758,4.149866
28.9314,0.951684,4.158467
