Time (s),Voltage (V),Current (mA)
0.1091,0.034164,-0.164322
0.2147,0.037738,-0.118685
0.7301,0.045707,-0.085868
0.8647,0.04975,-0.049052
1.2859,0.048613,0.010172
1.6898,0.053301,0.058219
2.1293,0.05991,0.070875
2.4604,0.062969,0.119525
2.7959,0.073141,0.141439
3.1496,0.084801,0.139522
3.5194,0.090777,0.17201
3.8652,0.100562,0.189268
4.2631,0.106832,0.209046
4.6255,0.109645,0.273036
4.9573,0.117437,0.297032
5.2976,0.119852,0.345737
5.6357,0.128512,0.361132
5.9776,0.135602,0.39625
6.3357,0.142328,0.424848
6.6858,0.143242,0.476785
7.0427,0.155359,0.495413
7.4196,0.160352,0.513985
7.7878,0.163785,0.564169
8.2092,0.184926,0.525052
8.6238,0.184738,0.595123
9.0129,0.188312,0.625256
9.3824,0.196328,0.664976
9.7318,0.20084,0.697573
10.1032,0.211246,0.718118
10.4238,0.210098,0.793285
10.7448,0.225344,0.778876
11.081,0.224805,0.829444
11.3931,0.231391,0.872889
11.7151,0.237074,0.898748
12.0354,0.242969,0.934742
12.3537,0.248641,0.969806
12.6789,0.254523,0.996432
13.0044,0.261695,1.033686
13.3338,0.268727,1.041356
13.6647,0.278324,1.075871
13.9955,0.281875,1.118057
14.3549,0.289914,1.131808
14.6962,0.298609,1.171199
15.0668,0.307035,1.184458
15.4222,0.312637,1.216069
15.7744,0.319984,1.249927
16.1309,0.325246,1.282634
16.471,0.328984,1.327175
16.8182,0.335828,1.36569
17.1747,0.341582,1.399
17.5291,0.348133,1.42601
17.8793,0.360555,1.430502
18.2402,0.360367,1.491643
18.5825,0.3715,1.487206
18.9193,0.378895,1.524734
19.2576,0.383559,1.565769
19.6546,0.392008,1.584889
20.0047,0.39925,1.612337
20.3703,0.405262,1.637374
20.7336,0.408672,1.68712
21.1005,0.416277,1.720649
21.442,0.421891,1.751056
21.7786,0.428699,1.777627
22.1287,0.436832,1.812799
22.4718,0.442691,1.845836
22.8054,0.448668,1.876954
23.1439,0.45557,1.918372
23.4538,0.462848,1.941109
23.7623,0.467852,1.968556
24.0674,0.475797,2.006578
24.3701,0.481082,2.039011
24.7025,0.488113,2.066295
25.009,0.497699,2.092592
25.3122,0.502152,2.128094
25.6211,0.511023,2.145242
25.9367,0.514973,2.19044
26.2437,0.524336,2.212848
26.5508,0.528977,2.241282
26.8699,0.535715,2.280454
27.1763,0.541926,2.302423
27.4834,0.549391,2.336664
27.7885,0.555965,2.366906
28.0948,0.563078,2.398682
28.4144,0.568762,2.413091
28.7371,0.57748,2.455112
29.082,0.58702,2.447497
29.4098,0.592762,2.497626
29.7567,0.600555,2.532086
30.0872,0.60632,2.556576
30.4095,0.611957,2.591803
30.7353,0.620664,2.627305
31.0558,0.622961,2.675845
31.3764,0.630262,2.70417
31.6966,0.638582,2.74115
32.0163,0.645145,2.774625
32.3373,0.650137,2.798402
32.658,0.661867,2.821521
32.9812,0.663965,2.865569
33.3147,0.670633,2.897839
33.6609,0.678086,2.919808
33.9998,0.686559,2.934271
34.3386,0.69318,2.952625
34.683,0.699332,3.008561
35.0311,0.706879,3.015519
35.3685,0.713055,3.040173
35.7049,0.719945,3.082084
36.0415,0.726789,3.106574
36.3762,0.734336,3.128105
36.7123,0.736961,3.192697
37.0477,0.74282,3.224309
37.3822,0.749395,3.249182
37.7164,0.762285,3.260303
38.0586,0.767125,3.286765
38.4024,0.772316,3.315528
38.7458,0.780484,3.34966
39.1041,0.785289,3.382696
39.4534,0.792438,3.409596
39.8104,0.79948,3.44296
40.1643,0.80623,3.470353
40.516,0.814035,3.49561
40.882,0.819754,3.534289
41.2152,0.823738,3.588308
41.5406,0.830113,3.619152
42.0038,0.838176,3.628137
42.3356,0.84359,3.681444
42.6629,0.849625,3.703249
42.99,0.856867,3.709057
43.3365,0.865703,3.745763
43.6795,0.869441,3.797646
44.0779,0.87768,3.801919
44.4191,0.883211,3.861965
44.7749,0.89357,3.85791
45.1476,0.899992,3.882893
45.5118,0.90802,3.904314
45.8623,0.911289,3.966058
46.1669,0.915437,4.012791
46.4646,0.925316,4.04106
46.7656,0.929641,4.074042
47.0635,0.936238,4.102476
47.3596,0.944898,4.130033
47.6565,0.950547,4.170191
47.9558,0.956734,4.199557
48.2582,0.964539,4.228922
48.5618,0.97116,4.259876
48.8669,0.978039,4.291104
49.1861,0.987074,4.311375
49.4963,0.994832,4.305896
49.8071,0.999602,4.348356
50.1275,1.007359,4.370763
50.4397,1.014004,4.405278
