Time (s),Voltage (V),Current (mA)
0.0157,-0.9873,-4.58785
0.1545,-0.9885,-4.579439
0.2534,-0.9885,-4.58785
0.3757,-0.9855,-4.573364
0.495,-0.9873,-4.576636
0.6136,-0.9897,-4.582243
0.737,-0.9916,-4.590654
0.8551,-0.9879,-4.573364
0.9741,-0.9891,-4.579439
1.0968,-0.9885,-4.585047
1.2155,-0.9879,-4.579439
1.3355,-0.9897,-4.582243
1.4543,-0.9891,-4.582243
1.5765,-0.991,-4.58785
1.6954,-0.9885,-4.579439
1.8168,-0.9897,-4.596262
1.9368,-0.9873,-4.570561
2.0561,-0.991,-4.585047
2.1752,-0.9879,-4.585047
2.2971,-0.991,-4.582243
2.4163,-0.9885,-4.579439
2.5348,-0.9885,-4.579439
2.6534,-0.9903,-4.582243
2.7763,-0.9897,-4.579439
2.8962,-0.9885,-4.582243
3.0145,-0.9897,-4.58785
3.1368,-0.991,-4.58785
3.2559,-0.9879,-4.590654
3.375,-0.9873,-4.585047
3.497,-0.9879,-4.582243
3.6162,-0.991,-4.585047
3.7355,-0.9873,-4.582243
3.8544,-0.9873,-4.590654
3.9773,-0.9897,-4.579439
4.0951,-0.991,-4.58785
4.2148,-0.9885,-4.585047
4.3369,-0.9885,-4.585047
4.4563,-0.9897,-4.58785
4.5751,-0.9903,-4.582243
4.6943,-0.9873,-4.570561
4.8164,-0.9903,-4.582243
4.9361,-0.991,-4.579439
5.0542,-0.9885,-4.585047
5.1766,-0.991,-4.58785
5.2957,-0.9891,-4.579439
5.414,-0.9879,-4.585047
5.5363,-0.9885,-4.573364
5.6552,-0.9885,-4.590654
5.7744,-0.9879,-4.585047
5.8932,-0.9891,-4.585047
6.0157,-0.9897,-4.593458
6.1349,-0.9897,-4.593458
6.2537,-0.9891,-4.579439
6.376,-0.9903,-4.582243
6.495,-0.9891,-4.579439
6.614,-0.991,-4.573364
6.7327,-0.9867,-4.579439
6.8554,-0.9891,-4.582243
6.9745,-0.9897,-4.579439
7.0932,-0.9879,-4.582243
7.2158,-0.9891,-4.582243
7.3351,-0.9879,-4.573364
7.4537,-0.9897,-4.567757
7.5761,-0.9897,-4.590654
7.6951,-0.9891,-4.564953
7.8141,-0.9897,-4.576636
7.9365,-0.9922,-4.576636
8.0554,-0.9922,-4.564953
8.1745,-0.9897,-4.576636
8.2933,-0.9873,-4.573364
8.4159,-0.9897,-4.576636
8.5349,-0.991,-4.579439
8.6538,-0.9891,-4.579439
8.7762,-0.9897,-4.570561
8.8953,-0.9885,-4.576636
9.0142,-0.9885,-4.573364
9.1331,-0.9885,-4.573364
9.2556,-0.9897,-4.573364
9.3746,-0.9891,-4.570561
9.4935,-0.9891,-4.567757
9.6158,-0.9885,-4.570561
9.735,-0.9897,-4.573364
9.8539,-0.9903,-4.585047
9.9762,-0.9897,-4.570561
10.0953,-0.991,-4.573364
10.2143,-0.9916,-4.579439
10.3331,-0.9891,-4.579439
10.4558,-0.9903,-4.576636
10.5748,-0.991,-4.585047
10.6936,-0.991,-4.582243
10.8159,-0.991,-4.573364
10.935,-0.9897,-4.573364
11.0539,-0.9885,-4.573364
11.1762,-0.9897,-4.570561
11.2953,-0.9885,-4.579439
11.4144,-0.9903,-4.576636
11.5333,-0.9891,-4.576636
11.6556,-0.9885,-4.573364
11.7746,-0.9885,-4.570561
11.8935,-0.9873,-4.582243
12.0159,-0.9885,-4.576636
12.135,-0.9891,-4.567757
12.254,-0.9879,-4.570561
12.3728,-0.9903,-4.570561
12.4954,-0.9885,-4.576636
12.6145,-0.9916,-4.579439
12.7332,-0.9897,-4.573364
12.8557,-0.9891,-4.573364
