Time (s),Voltage (V),Current (mA)
0.0138,0.0037,-0.025701
0.1572,0.0049,-0.011215
0.2022,0.0141,0.0
0.2514,0.0134,0.002804
0.2687,0.0183,0.020093
0.3339,0.0208,0.054206
0.4024,0.0263,0.08271
0.4517,0.0293,0.088318
0.5014,0.0348,0.102804
0.5541,0.0385,0.122897
0.6073,0.0422,0.142523
0.6564,0.044,0.162617
0.7343,0.0489,0.179907
0.78,0.0519,0.202804
0.8247,0.0593,0.225701
0.87,0.0623,0.225701
0.9152,0.0672,0.257009
0.9599,0.069,0.271028
1.0049,0.0739,0.285514
1.0532,0.077,0.305607
1.1042,0.0813,0.331308
1.1683,0.0861,0.345327
1.2185,0.0892,0.371028
1.267,0.0959,0.371028
1.3161,0.0996,0.405607
1.3609,0.0984,0.414019
1.4065,0.1075,0.43972
1.4552,0.1087,0.465421
1.5009,0.1118,0.476636
1.5454,0.1149,0.488318
1.5904,0.121,0.514019
1.64,0.124,0.530841
1.7146,0.1314,0.542523
1.791,0.1332,0.562617
1.8404,0.1375,0.582243
1.8894,0.1405,0.602336
1.9388,0.1442,0.625234
1.9915,0.1509,0.645327
2.0412,0.1533,0.650935
2.094,0.1552,0.665421
2.1436,0.1643,0.693925
2.1927,0.1643,0.713551
2.2415,0.1698,0.730841
2.2879,0.1753,0.745327
2.3809,0.1766,0.767757
2.4354,0.1815,0.796729
2.5038,0.1857,0.796729
2.5492,0.1888,0.816355
2.5941,0.1943,0.84486
2.6433,0.1992,0.864953
2.6884,0.1986,0.873832
2.737,0.2041,0.90514
2.7823,0.2102,0.910748
2.8274,0.2144,0.924766
2.8727,0.2163,0.947664
2.9176,0.2199,0.979439
2.963,0.2267,0.982243
3.0078,0.2303,0.999065
3.0531,0.2322,1.02757
3.0984,0.2352,1.039252
3.1428,0.2401,1.070561
3.188,0.2438,1.093458
3.2331,0.2474,1.099065
3.2779,0.2529,1.107477
3.3409,0.2554,1.133178
3.4063,0.2597,1.14486
3.4746,0.2645,1.173364
3.524,0.2676,1.193458
3.5694,0.2755,1.216355
3.6141,0.278,1.235981
3.663,0.2841,1.235981
3.7122,0.2853,1.261682
3.7609,0.2896,1.290187
3.8102,0.292,1.31028
3.8595,0.2951,1.32757
3.9129,0.3012,1.341589
3.9621,0.3061,1.361682
4.0113,0.3085,1.373364
4.0603,0.314,1.401869
4.111,0.3146,1.413084
4.1669,0.3226,1.415888
4.2164,0.3238,1.441589
4.2689,0.3293,1.46729
4.3263,0.3317,1.476168
4.3757,0.3366,1.495794
4.4291,0.3421,1.521495
4.4817,0.3446,1.541589
4.5355,0.3489,1.55
4.5884,0.3525,1.575701
4.6379,0.3598,1.592991
4.6867,0.3586,1.613084
4.7356,0.3641,1.627103
4.8174,0.369,1.652804
4.8673,0.3708,1.672897
4.9169,0.3751,1.687383
4.9984,0.3825,1.687383
5.0491,0.3818,1.715888
5.1288,0.3861,1.73271
5.1786,0.3941,1.75
5.2318,0.3965,1.772897
5.2887,0.4008,1.790187
5.3421,0.4063,1.809813
5.3913,0.4093,1.827103
5.442,0.4124,1.852804
5.5185,0.4161,1.864019
5.5675,0.4191,1.875701
5.617,0.4228,1.909813
5.6663,0.4289,1.918692
5.7151,0.4307,1.938318
5.7641,0.4362,1.958411
5.8134,0.4393,1.986916
5.8626,0.4448,1.995794
5.9115,0.4472,2.007009
5.9646,0.4539,2.029907
6.014,0.4582,2.05
6.0605,0.4649,2.064019
6.1327,0.4655,2.086916
6.1779,0.471,2.098131
6.2231,0.4704,2.118224
6.2683,0.4753,2.135514
6.3128,0.4784,2.158411
6.3606,0.4845,2.181308
6.4071,0.4888,2.192523
6.4559,0.4936,2.215421
6.5015,0.4985,2.229907
6.5469,0.501,2.25514
6.5916,0.5004,2.269626
6.6363,0.5053,2.278037
6.7021,0.5101,2.28972
6.7473,0.5169,2.323832
6.793,0.5205,2.349533
6.8659,0.5285,2.357944
6.9112,0.5291,2.386916
6.956,0.5321,2.395327
7.0026,0.5358,2.406542
7.0791,0.5395,2.429439
7.1242,0.5456,2.435047
7.1689,0.5499,2.489252
7.2179,0.5529,2.495327
7.267,0.5566,2.506542
7.3124,0.559,2.53785
7.3576,0.5676,2.549533
7.4024,0.57,2.557944
7.4477,0.5718,2.580841
7.4928,0.5767,2.600935
7.5417,0.5816,2.617757
7.5905,0.5871,2.643458
7.6402,0.592,2.657944
7.6895,0.592,2.671963
7.7346,0.5981,2.714953
7.7835,0.6012,2.706542
7.8287,0.6048,2.726636
7.8813,0.6116,2.749065
7.9303,0.6152,2.780841
7.9801,0.6213,2.789252
8.0293,0.625,2.820561
8.0743,0.6256,2.83785
8.1192,0.6317,2.849065
8.1645,0.6348,2.863551
8.2094,0.6378,2.892056
8.2588,0.6427,2.909346
8.3078,0.6476,2.928972
8.3566,0.6507,2.93785
8.4059,0.6537,2.949065
8.4512,0.658,2.971963
8.5037,0.6647,2.983178
8.5778,0.6659,3.006075
8.639,0.6696,3.020561
8.6963,0.6757,3.034579
8.7496,0.6769,3.066355
8.8071,0.6824,3.080374
8.8563,0.6885,3.09486
8.9054,0.691,3.114486
8.9545,0.6928,3.123364
9.0037,0.6965,3.146262
9.057,0.7032,3.163084
9.1102,0.7069,3.185981
9.1633,0.7075,3.208879
9.2166,0.716,3.226168
9.2699,0.716,3.245794
9.3229,0.7209,3.257477
9.3763,0.7252,3.280374
9.4295,0.727,3.300467
9.483,0.7331,3.314486
9.5402,0.7386,3.340187
9.5934,0.7423,3.357477
9.6463,0.7454,3.365888
9.7001,0.7472,3.388785
9.7538,0.7527,3.403271
9.8044,0.7564,3.434579
9.8926,0.7582,3.440187
9.9427,0.7661,3.451402
10.024,0.7735,3.474299
10.0743,0.7765,3.5
10.1428,0.7753,3.514486
10.1932,0.7814,3.542991
10.2653,0.7838,3.554206
10.3155,0.79,3.577103
10.3962,0.7955,3.588785
10.4454,0.7967,3.620093
10.5231,0.8022,3.620093
10.5767,0.8071,3.640187
10.6257,0.8101,3.665888
10.6787,0.8138,3.677103
10.7362,0.8162,3.7
10.786,0.8205,3.722897
10.8348,0.8278,3.734112
10.8844,0.8297,3.759813
10.9332,0.8339,3.777103
10.9823,0.8352,3.785514
11.0316,0.8401,3.805607
11.0802,0.8462,3.836916
11.1335,0.8511,3.836916
11.1834,0.8547,3.857009
11.2281,0.8584,3.874299
11.2745,0.8614,3.888318
11.3429,0.8627,3.916822
11.3923,0.8706,3.936916
11.4412,0.873,3.957009
11.4941,0.8773,3.971028
11.5475,0.881,3.996729
11.5965,0.8853,4.016822
11.6469,0.8883,4.034112
11.7195,0.892,4.036916
11.7689,0.8975,4.062617
11.8153,0.9018,4.091121
11.8793,0.9042,4.091121
11.9283,0.9109,4.134112
11.9773,0.914,4.153738
12.0265,0.9195,4.156542
12.0719,0.9256,4.185514
12.1167,0.9274,4.20514
12.1622,0.9286,4.214019
12.2069,0.9323,4.242523
12.2526,0.9409,4.256542
12.2973,0.9427,4.268224
12.3423,0.9464,4.299533
12.3884,0.95,4.325234
12.4525,0.9543,4.319626
12.4992,0.9592,4.345327
12.5683,0.961,4.376636
12.6328,0.969,4.382243
12.678,0.9708,4.390654
12.7233,0.972,4.413551
12.7685,0.9775,4.439252
12.8131,0.983,4.456542
12.8583,0.9873,4.476636
12.9237,0.9903,4.490654
12.9702,0.994,4.50514
13.034,0.9983,4.521963
